id;round_id;local_player_id;visitor_player_id
1;1;1;7
2;1;2;8
3;1;3;9
4;1;4;10
5;1;5;11
6;2;8;1
7;2;7;9
8;2;10;2
9;2;11;3
10;2;12;4
11;3;1;9
12;3;10;8
13;3;11;7
14;3;2;12
15;3;4;5
16;4;10;1
17;4;9;11
18;4;8;12
19;4;5;2
20;4;4;3
21;5;1;11
22;5;12;10
23;5;8;5
24;5;7;4
25;6;12;1
26;6;5;10
27;6;3;8
28;6;7;2
29;7;12;5
30;7;10;3
31;7;2;9
32;7;8;7
33;8;5;1
34;8;3;12
35;8;11;2
36;8;10;7
37;8;9;8
38;9;5;3
39;9;12;7
40;9;8;11
41;9;9;10
42;10;3;1
43;10;7;5
44;10;9;12
45;10;10;11
46;11;1;2
47;11;3;7
48;11;4;8
49;11;5;9
50;11;11;12
51;12;13;19
52;12;14;20
53;12;15;21
54;12;16;22
55;12;17;23
56;12;18;24
57;13;20;13
58;13;19;21
59;13;22;14
60;13;23;15
61;13;24;16
62;13;18;17
63;14;13;21
64;14;22;20
65;14;23;19
66;14;14;24
67;14;15;18
68;14;16;17
69;15;22;12
70;15;21;23
71;15;20;24
72;15;19;18
73;15;17;14
74;15;16;15
75;16;13;23
76;16;24;22
77;16;18;21
78;16;20;17
79;16;19;16
80;16;14;15
81;17;24;13
82;17;23;18
83;17;17;22
84;17;21;16
85;17;15;20
86;17;19;14
87;18;13;18
88;18;24;17
89;18;16;23
90;18;22;15
91;18;14;21
92;18;20;19
93;19;17;13
94;19;18;16
95;19;15;24
96;19;23;14
97;19;22;19
98;19;21;20
99;20;13;16
100;20;17;15
101;20;14;18
102;20;24;19
103;20;20;23
104;20;21;22
105;21;15;13
106;21;16;14
107;21;19;17
108;21;18;20
109;21;21;24
110;21;22;23
111;22;13;14
112;22;15;19
113;22;16;20
114;22;17;21
115;22;18;22
116;22;23;24
117;23;25;31
118;23;26;32
119;23;27;33
120;23;28;34
121;23;29;35
122;23;30;36
123;24;32;25
124;24;31;33
125;24;34;26
126;24;35;27
127;24;36;28
128;24;30;29
129;25;25;33
130;25;34;32
131;25;35;31
132;25;26;36
133;25;27;30
134;25;28;29
135;26;34;25
136;26;33;35
137;26;32;36
138;26;31;30
139;26;29;26
140;26;28;27
141;27;25;35
142;27;36;34
143;27;30;33
144;27;32;29
145;27;31;28
146;27;26;27
147;28;29;25
148;28;30;28
149;28;27;36
150;28;35;26
151;28;34;31
152;28;33;32
153;29;27;25
154;29;28;26
155;29;31;29
156;29;30;32
157;29;33;36
158;29;34;35
